Producto;Fecha;Ingreso;Egreso;Precio Venta;Monto Venta;Stock
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-07-21;0,00;2,00;14.290,00;28.580,00;101
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-07-23;0,00;2,00;11.606,40;23.212,80;99
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-07-25;0,00;5,00;11.432,00;57.160,00;94
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-07-31;0,00;1,00;14.399,00;14.399,00;93
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-08-01;0,00;3,00;11.519,20;34.557,60;90
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-08-08;100,00;0,00;0,00;0,00;190
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-08-20;0,00;5,00;12.722,40;63.612,00;185
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-08-20;0,00;1,00;12.722,40;12.722,40;184
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-08-21;0,00;2,00;12.722,40;25.444,80;182
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-09-16;0,00;6,00;13.758,40;82.550,40;176
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-09-16;0,00;4,00;12.847,04;51.388,16;172
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-09-19;0,00;4,00;13.852,80;55.411,20;168
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-09-22;0,00;10,00;14.371,20;143.712,00;158
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-09-30;0,00;1,00;13.381,60;13.381,60;157
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-10-01;0,00;3,00;13.381,60;40.144,80;154
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-10-01;0,00;5,00;13.381,60;66.908,00;149
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-10-14;0,00;3,00;13.287,20;39.861,60;146
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-10-20;0,00;5,00;13.249,84;66.249,20;141
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-10-20;0,00;3,00;13.249,84;39.749,52;138
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-10-23;0,00;3,00;18.258,00;54.774,00;135
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-10-28;0,00;2,00;13.805,60;27.611,20;133
Bateria Motorola G31 / G42 / G62 5G  - Gold Edition;2025-10-31;0,00;1,00;13.805,60;13.805,60;132
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;;;;;;160
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-01;0,00;2,00;10.717,60;21.435,20;158
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-07;0,00;5,00;10.980,80;54.904,00;153
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-07;0,00;1,00;13.726,00;13.726,00;152
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-07;0,00;10,00;10.761,18;107.611,84;142
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-11;0,00;8,00;11.332,80;90.662,40;134
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-14;0,00;2,00;11.332,80;22.665,60;132
Bateria Motorola E13 / E32 / E32S / G13 / G22 / G53  - Gold Edition;2025-07-14;0,00;4,00;14.166,00;56.664,00;128
