Producto;Fecha;Ingreso;Egreso;Precio Venta;Monto Venta;Stock
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;;;;;;300
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-07-16;0,00;4,00;1.800,00;7.200,00;296
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-07-16;0,00;10,00;1.440,00;14.400,00;286
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-07-22;0,00;4,00;1.440,00;5.760,00;282
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-08-29;0,00;20,00;1.900,00;38.000,00;262
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-01;0,00;5,00;1.900,00;9.500,00;257
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-01;0,00;10,00;1.520,00;15.200,00;247
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-15;0,00;1,00;2.000,00;2.000,00;246
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-15;0,00;5,00;1.400,00;7.000,00;241
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-22;0,00;1,00;2.000,00;2.000,00;240
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-09-25;0,00;10,00;1.520,00;15.200,00;230
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-10-13;0,00;10,00;1.600,00;16.000,00;220
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-10-14;0,00;1,00;1.900,00;1.900,00;219
Trafo 12v 1a Para cámaras (SIN modificar) Positivo en centro;2025-10-20;0,00;1,00;1.600,00;1.600,00;218
Trafo 12v 1a - (modificado) Negativo en centro;;;;;;677
Trafo 12v 1a - (modificado) Negativo en centro;2025-09-15;0,00;1,00;1.800,00;1.800,00;676
Trafo 12v 1a - (modificado) Negativo en centro;2025-09-15;0,00;5,00;1.260,00;6.300,00;671
Trafo 12v 1a - (modificado) Negativo en centro;2025-09-25;0,00;10,00;1.440,00;14.400,00;661
Trafo 12v 1a - (modificado) Negativo en centro;2025-10-13;0,00;10,00;1.440,00;14.400,00;651
Mouse Optico OnePlus G5059;;;;;;495
Mouse Optico OnePlus G5059;2025-07-01;0,00;3,00;2.588,80;7.766,40;492
Mouse Optico OnePlus G5059;2025-07-03;0,00;50,00;2.620,80;131.040,00;442
Mouse Optico OnePlus G5059;2025-07-10;0,00;10,00;2.737,60;27.376,00;432
Mouse Optico OnePlus G5059;2025-07-16;0,00;3,00;2.917,20;8.751,60;429
Mouse Optico OnePlus G5059;2025-07-21;0,00;8,00;2.895,10;23.160,80;421
Mouse Optico OnePlus G5059;2025-07-31;0,00;3,00;0,01;0,03;418
Mouse Optico OnePlus G5059;2025-08-04;0,00;3,00;2.864,80;8.594,40;415
Mouse Optico OnePlus G5059;2025-08-20;0,00;1,00;0,01;0,01;414
Mouse Optico OnePlus G5059;2025-09-11;0,00;5,00;2.511,20;12.556,00;409
Mouse Optico OnePlus G5059;2025-09-17;0,00;4,00;2.761,40;11.045,58;405
Mouse Optico OnePlus G5059;2025-09-24;0,00;5,00;2.667,47;13.337,35;400
Mouse Optico OnePlus G5059;2025-10-06;0,00;1,00;2.723,83;2.723,83;399
Mouse Optico OnePlus G5059;2025-10-06;0,00;19,00;0,00;0,00;380
Mouse Optico OnePlus G5059;2025-10-09;0,00;1,00;0,01;0,01;379
Mouse Optico OnePlus G5059;2025-10-13;0,00;1,00;2.780,18;2.780,18;378
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-12;276,00;0,00;0,00;0,00;276
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-15;0,00;3,00;4.004,00;12.012,00;273
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-15;0,00;2,00;3.203,20;6.406,40;271
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-15;0,00;2,00;3.203,20;6.406,40;269
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-16;0,00;5,00;3.224,80;16.124,00;264
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-17;0,00;5,00;4.031,00;20.155,00;259
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-17;0,00;10,00;4.031,00;40.310,00;249
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-18;0,00;10,00;4.031,00;40.310,00;239
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-18;0,00;5,00;3.224,80;16.124,00;234
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-19;0,00;10,00;3.224,80;32.248,00;224
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-23;0,00;4,00;3.115,20;12.460,80;220
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-24;0,00;5,00;3.115,20;15.576,00;215
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-25;0,00;10,00;3.115,20;31.152,00;205
Adaptador Tipo C a USB-A - Hoco UA36B;2025-09-25;0,00;60,00;3.071,20;184.272,00;145
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-01;0,00;1,00;3.839,00;3.839,00;144
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-01;0,00;1,00;3.894,00;3.894,00;143
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-01;0,00;3,00;3.894,00;11.682,00;140
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-02;0,00;2,00;3.159,20;6.318,40;138
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-03;0,00;11,00;3.115,20;34.267,20;127
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-13;0,00;3,00;3.246,40;9.739,20;124
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-14;0,00;2,00;3.867,00;7.734,00;122
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-16;0,00;1,00;3.093,60;3.093,60;121
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-20;0,00;20,00;3.084,08;61.681,60;101
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-21;0,00;5,00;3.084,08;15.420,40;96
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-21;0,00;10,00;3.246,40;32.464,00;86
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-21;0,00;5,00;4.058,00;20.290,00;81
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-21;0,00;-10,00;-3.246,40;32.464,00;91
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-21;0,00;10,00;3.246,40;32.464,00;81
Adaptador Tipo C a USB-A - Hoco UA36B;2025-10-31;0,00;10,00;3.280,00;32.800,00;71
Adaptador Tipo C a USB-A - Hoco UA36B;2025-11-03;0,00;11,00;3.213,60;35.349,60;60
Auricular con cable conector Lightning - Remax rm533i;;;;;;688
Auricular con cable conector Lightning - Remax rm533i;2025-07-01;0,00;15,00;517,00;7.755,00;673
Auricular con cable conector Lightning - Remax rm533i;2025-07-01;0,00;50,00;413,60;20.680,00;623
Auricular con cable conector Lightning - Remax rm533i;2025-07-01;0,00;5,00;413,60;2.068,00;618
Auricular con cable conector Lightning - Remax rm533i;2025-07-01;0,00;2,00;517,00;1.034,00;616
Auricular con cable conector Lightning - Remax rm533i;2025-07-04;0,00;30,00;419,20;12.576,00;586
Auricular con cable conector Lightning - Remax rm533i;2025-07-07;0,00;10,00;415,52;4.155,20;576
Auricular con cable conector Lightning - Remax rm533i;2025-07-17;0,00;10,00;454,40;4.544,00;566
Auricular con cable conector Lightning - Remax rm533i;2025-07-24;0,00;5,00;555,00;2.775,00;561
Auricular con cable conector Lightning - Remax rm533i;2025-08-01;0,00;40,00;448,00;17.920,00;521
Auricular con cable conector Lightning - Remax rm533i;2025-08-04;0,00;10,00;572,00;5.720,00;511
Auricular con cable conector Lightning - Remax rm533i;2025-08-05;0,00;20,00;572,00;11.440,00;491
Auricular con cable conector Lightning - Remax rm533i;2025-08-13;0,00;10,00;572,00;5.720,00;481
Auricular con cable conector Lightning - Remax rm533i;2025-08-20;0,00;3,00;572,00;1.716,00;478
Auricular con cable conector Lightning - Remax rm533i;2025-08-21;0,00;100,00;457,60;45.760,00;378
Auricular con cable conector Lightning - Remax rm533i;2025-08-28;0,00;10,00;699,93;6.999,30;368
Auricular con cable conector Lightning - Remax rm533i;2025-09-01;0,00;10,00;699,93;6.999,30;358
Auricular con cable conector Lightning - Remax rm533i;2025-09-09;0,00;10,00;704,93;7.049,30;348
Auricular con cable conector Lightning - Remax rm533i;2025-09-15;0,00;5,00;600,80;3.004,00;343
Auricular con cable conector Lightning - Remax rm533i;2025-09-15;0,00;100,00;529,98;52.998,00;243
Auricular con cable conector Lightning - Remax rm533i;2025-09-15;0,00;2,00;600,80;1.201,60;241
Auricular con cable conector Lightning - Remax rm533i;2025-09-16;0,00;5,00;604,80;3.024,00;236
Auricular con cable conector Lightning - Remax rm533i;2025-09-18;0,00;30,00;533,61;16.008,30;206
Auricular con cable conector Lightning - Remax rm533i;2025-09-24;0,00;20,00;515,46;10.309,20;186
Auricular con cable conector Lightning - Remax rm533i;2025-09-26;0,00;10,00;576,00;5.760,00;176
Auricular con cable conector Lightning - Remax rm533i;2025-10-01;0,00;3,00;515,46;1.546,38;173
Auricular con cable conector Lightning - Remax rm533i;2025-10-01;0,00;5,00;515,46;2.577,30;168
Auricular con cable conector Lightning - Remax rm533i;2025-10-01;0,00;1,00;522,72;522,72;167
Auricular con cable conector Lightning - Remax rm533i;2025-10-03;0,00;20,00;412,37;8.247,36;147
Auricular con cable conector Lightning - Remax rm533i;2025-10-06;0,00;25,00;574,56;14.364,00;122
Auricular con cable conector Lightning - Remax rm533i;2025-10-13;0,00;2,00;537,24;1.074,48;120
Auricular con cable conector Lightning - Remax rm533i;2025-10-17;0,00;8,00;609,60;4.876,80;112
Auricular con cable conector Lightning - Remax rm533i;2025-10-21;0,00;11,00;537,24;5.909,64;101
Repuestos para mini polishing rl-068a - 8 piezas;2025-07-11;50,00;0,00;0,00;0,00;50
Repuestos para mini polishing rl-068a - 8 piezas;2025-07-17;0,00;29,00;0,00;0,00;21
Repuestos para mini polishing rl-068a - 8 piezas;2025-07-17;0,00;20,00;0,00;0,00;1
Repuestos para mini polishing rl-068a - 8 piezas;2025-07-17;0,00;1,00;6.485,60;6.485,60;0
Repuestos para mini polishing rl-068a - 8 piezas;2025-07-17;-1,00;-1,00;-6.031,61;6.031,61;0
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-01;10,00;0,00;0,00;0,00;10
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-01;40,00;0,00;0,00;0,00;50
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-04;0,00;1,00;8.168,00;8.168,00;49
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-07;0,00;2,00;8.168,00;16.336,00;47
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-12;0,00;1,00;8.168,00;8.168,00;46
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-14;0,00;1,00;8.168,00;8.168,00;45
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-18;0,00;5,00;6.534,40;32.672,00;40
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-19;0,00;1,00;8.168,00;8.168,00;39
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-19;0,00;1,00;8.168,00;8.168,00;38
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-21;0,00;5,00;6.534,40;32.672,00;33
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-22;0,00;20,00;4.002,32;80.046,40;13
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-26;0,00;1,00;8.228,00;8.228,00;12
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-27;0,00;2,00;6.582,40;13.164,80;10
Repuestos para mini polishing rl-068a - 8 piezas;2025-08-27;0,00;10,00;6.253,28;62.532,80;0
Repuestos para mini polishing rl-068a - 8 piezas;2025-09-16;100,00;0,00;0,00;0,00;100
Repuestos para mini polishing rl-068a - 8 piezas;2025-09-18;0,00;5,00;7.115,20;35.576,00;95
Repuestos para mini polishing rl-068a - 8 piezas;2025-09-22;0,00;2,00;6.897,00;13.794,00;93
Repuestos para mini polishing rl-068a - 8 piezas;2025-09-22;0,00;2,00;7.381,60;14.763,20;91
Repuestos para mini polishing rl-068a - 8 piezas;2025-09-23;0,00;1,00;9.227,00;9.227,00;90
Repuestos para mini polishing rl-068a - 8 piezas;2025-09-30;0,00;2,00;8.470,00;16.940,00;88
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-01;0,00;1,00;8.470,00;8.470,00;87
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-02;0,00;1,00;0,00;0,00;86
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-06;0,00;5,00;7.018,40;35.092,00;81
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-06;0,00;1,00;7.018,40;7.018,40;80
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-07;0,00;1,00;8.833,00;8.833,00;79
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-08;0,00;3,00;8.894,00;26.682,00;76
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-14;0,00;1,00;8.531,00;8.531,00;75
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-14;1,00;0,00;0,00;0,00;76
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-16;0,00;1,00;8.531,00;8.531,00;75
Repuestos para mini polishing rl-068a - 8 piezas;2025-10-30;0,00;5,00;7.091,20;35.456,00;70
Pack x20 CINTA ALUMINIO 15mm;2025-07-16;10,00;0,00;0,00;0,00;10
Pack x20 CINTA ALUMINIO 15mm;2025-07-17;0,00;1,00;92.800,00;92.800,00;9
Pack x20 CINTA ALUMINIO 15mm;2025-07-21;0,00;1,00;92.800,00;92.800,00;8
Pack x20 CINTA ALUMINIO 15mm;2025-09-03;0,00;1,00;0,00;0,00;7
Pack x20 CINTA ALUMINIO 15mm;2025-09-30;0,00;1,00;0,00;0,00;6
Pack x20 CINTA ALUMINIO 15mm;2025-10-03;0,00;4,00;91.000,00;364.000,00;2
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-16;50,00;0,00;0,00;0,00;50
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-16;50,00;0,00;0,00;0,00;100
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-16;50,00;0,00;0,00;0,00;150
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-16;0,00;2,00;0,00;0,00;148
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-17;10,00;0,00;0,00;0,00;158
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-17;0,00;90,00;1.200,00;108.000,00;68
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-17;0,00;8,00;908,00;7.264,00;60
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-21;140,00;0,00;0,00;0,00;200
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-21;0,00;1,00;1.500,00;1.500,00;199
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-21;0,00;3,00;1.500,00;4.500,00;196
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-22;0,00;3,00;1.500,00;4.500,00;193
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-23;0,00;1,00;1.200,00;1.200,00;192
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-28;0,00;2,00;1.500,00;3.000,00;190
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-07-29;0,00;10,00;1.200,00;12.000,00;180
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-08-08;0,00;1,00;1.500,00;1.500,00;179
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-08-11;0,00;1,00;1.500,00;1.500,00;178
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-08-13;0,00;4,00;1.500,00;6.000,00;174
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-08-22;0,00;2,00;1.500,00;3.000,00;172
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-08-26;0,00;20,00;1.200,00;24.000,00;152
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-08-29;0,00;2,00;1.500,00;3.000,00;150
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-08-29;0,00;1,00;1.500,00;1.500,00;149
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-02;0,00;8,00;1.200,00;9.600,00;141
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-05;0,00;1,00;1.500,00;1.500,00;140
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-08;0,00;2,00;1.500,00;3.000,00;138
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-10;0,00;4,00;1.600,00;6.400,00;134
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-11;0,00;5,00;1.600,00;8.000,00;129
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-16;0,00;1,00;1.600,00;1.600,00;128
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-17;0,00;1,00;1.700,00;1.700,00;127
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-22;0,00;3,00;1.360,00;4.080,00;124
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-09-22;0,00;120,00;1.190,00;142.800,00;4
ESPATULA para colocar films hidrogel CHICA tamaño celular SS064B;2025-10-03;0,00;4,00;1.280,00;5.120,00;0
PASTA Nano de plata conductora;2025-09-02;100,00;0,00;0,00;0,00;100
PASTA Nano de plata conductora;2025-09-03;0,00;3,00;21.393,00;64.179,00;97
PASTA Nano de plata conductora;2025-09-03;0,00;5,00;17.114,40;85.572,00;92
PASTA Nano de plata conductora;2025-09-03;0,00;10,00;17.114,40;171.144,00;82
PASTA Nano de plata conductora;2025-09-05;0,00;1,00;21.551,00;21.551,00;81
PASTA Nano de plata conductora;2025-09-08;0,00;10,00;17.240,80;172.408,00;71
PASTA Nano de plata conductora;2025-09-08;0,00;5,00;15.085,70;75.428,50;66
PASTA Nano de plata conductora;2025-09-09;0,00;2,00;17.744,00;35.488,00;64
PASTA Nano de plata conductora;2025-09-09;0,00;1,00;17.240,80;17.240,80;63
PASTA Nano de plata conductora;2025-09-11;0,00;3,00;17.869,60;53.608,80;60
PASTA Nano de plata conductora;2025-09-12;0,00;1,00;20.103,30;20.103,30;59
PASTA Nano de plata conductora;2025-09-18;0,00;1,00;18.499,20;18.499,20;58
PASTA Nano de plata conductora;2025-09-18;0,00;1,00;23.124,00;23.124,00;57
PASTA Nano de plata conductora;2025-09-19;0,00;4,00;18.499,20;73.996,80;53
PASTA Nano de plata conductora;2025-09-19;0,00;3,00;17.932,20;53.796,60;50
PASTA Nano de plata conductora;2025-09-22;0,00;1,00;23.595,00;23.595,00;49
PASTA Nano de plata conductora;2025-09-22;0,00;2,00;19.191,20;38.382,40;47
PASTA Nano de plata conductora;2025-09-22;0,00;2,00;19.191,20;38.382,40;45
PASTA Nano de plata conductora;2025-09-23;0,00;2,00;17.869,60;35.739,20;43
PASTA Nano de plata conductora;2025-09-24;0,00;1,00;22.337,00;22.337,00;42
PASTA Nano de plata conductora;2025-09-24;0,00;1,00;22.337,00;22.337,00;41
PASTA Nano de plata conductora;2025-10-01;0,00;3,00;17.869,60;53.608,80;38
PASTA Nano de plata conductora;2025-10-06;0,00;10,00;18.247,20;182.472,00;28
PASTA Nano de plata conductora;2025-10-08;0,00;5,00;0,00;0,00;23
PASTA Nano de plata conductora;2025-10-13;0,00;1,00;21.490,00;21.490,00;22
PASTA Nano de plata conductora;2025-10-13;0,00;1,00;21.490,00;21.490,00;21
PASTA Nano de plata conductora;2025-10-13;0,00;3,00;17.192,00;51.576,00;18
PASTA Nano de plata conductora;2025-10-14;0,00;1,00;20.474,00;20.474,00;17
PASTA Nano de plata conductora;2025-10-14;1,00;0,00;0,00;0,00;18
PASTA Nano de plata conductora;2025-10-21;0,00;5,00;15.043,00;75.215,00;13
PASTA Nano de plata conductora;2025-10-23;0,00;1,00;18.004,80;18.004,80;12
PASTA Nano de plata conductora;2025-10-30;0,00;1,00;17.017,60;17.017,60;11
PASTA Nano de plata conductora;2025-10-31;0,00;2,00;17.017,60;34.035,20;9
PASTA Nano de plata conductora;2025-11-03;0,00;2,00;17.017,60;34.035,20;7
Paños limpieza wipes rl-045;;;;;;486
Paños limpieza wipes rl-045;2025-07-01;0,00;1,00;2.599,00;2.599,00;485
Paños limpieza wipes rl-045;2025-07-02;0,00;10,00;2.104,80;21.048,00;475
Paños limpieza wipes rl-045;2025-07-03;0,00;3,00;2.662,00;7.986,00;472
Paños limpieza wipes rl-045;2025-07-08;0,00;2,00;2.726,00;5.452,00;470
Paños limpieza wipes rl-045;2025-07-10;0,00;3,00;2.579,07;7.737,21;467
Paños limpieza wipes rl-045;2025-07-14;0,00;2,00;2.198,40;4.396,80;465
Paños limpieza wipes rl-045;2025-07-16;276,00;0,00;0,00;0,00;741
Paños limpieza wipes rl-045;2025-07-16;0,00;1,00;2.812,00;2.812,00;740
Paños limpieza wipes rl-045;2025-07-17;0,00;10,00;2.232,00;22.320,00;730
Paños limpieza wipes rl-045;2025-07-17;0,00;3,00;2.283,20;6.849,60;727
Paños limpieza wipes rl-045;2025-07-18;0,00;5,00;2.232,00;11.160,00;722
Paños limpieza wipes rl-045;2025-07-18;0,00;1,00;2.232,00;2.232,00;721
Paños limpieza wipes rl-045;2025-07-21;0,00;1,00;2.790,00;2.790,00;720
Paños limpieza wipes rl-045;2025-07-22;0,00;6,00;2.120,40;12.722,40;714
Paños limpieza wipes rl-045;2025-07-24;0,00;5,00;2.232,00;11.160,00;709
Paños limpieza wipes rl-045;2025-07-28;0,00;1,00;2.812,00;2.812,00;708
Paños limpieza wipes rl-045;2025-07-28;0,00;2,00;2.232,00;4.464,00;706
Paños limpieza wipes rl-045;2025-07-29;0,00;1,00;2.812,00;2.812,00;705
Paños limpieza wipes rl-045;2025-07-29;0,00;5,00;2.812,00;14.060,00;700
Paños limpieza wipes rl-045;2025-07-29;0,00;2,00;2.812,00;5.624,00;698
Paños limpieza wipes rl-045;2025-07-29;0,00;5,00;2.249,60;11.248,00;693
Paños limpieza wipes rl-045;2025-07-29;0,00;1,00;2.249,60;2.249,60;692
Paños limpieza wipes rl-045;2025-07-31;0,00;2,00;2.812,00;5.624,00;690
Paños limpieza wipes rl-045;2025-08-01;0,00;1,00;2.875,00;2.875,00;689
Paños limpieza wipes rl-045;2025-08-01;0,00;5,00;2.300,00;11.500,00;684
Paños limpieza wipes rl-045;2025-08-04;0,00;1,00;2.875,00;2.875,00;683
Paños limpieza wipes rl-045;2025-08-05;0,00;20,00;2.875,00;57.500,00;663
Paños limpieza wipes rl-045;2025-08-06;0,00;1,00;2.875,00;2.875,00;662
Paños limpieza wipes rl-045;2025-08-08;0,00;1,00;2.875,00;2.875,00;661
Paños limpieza wipes rl-045;2025-08-13;0,00;10,00;2.300,00;23.000,00;651
Paños limpieza wipes rl-045;2025-08-13;0,00;1,00;2.875,00;2.875,00;650
Paños limpieza wipes rl-045;2025-08-13;0,00;1,00;2.300,00;2.300,00;649
Paños limpieza wipes rl-045;2025-08-14;0,00;3,00;2.875,00;8.625,00;646
Paños limpieza wipes rl-045;2025-08-18;0,00;2,00;2.875,00;5.750,00;644
Paños limpieza wipes rl-045;2025-08-19;0,00;2,00;2.875,00;5.750,00;642
Paños limpieza wipes rl-045;2025-08-20;0,00;1,00;2.875,00;2.875,00;641
Paños limpieza wipes rl-045;2025-08-20;0,00;1,00;2.300,00;2.300,00;640
Paños limpieza wipes rl-045;2025-08-22;0,00;2,00;2.875,00;5.750,00;638
Paños limpieza wipes rl-045;2025-08-22;0,00;3,00;2.875,00;8.625,00;635
Paños limpieza wipes rl-045;2025-08-25;0,00;5,00;2.300,00;11.500,00;630
Paños limpieza wipes rl-045;2025-08-27;0,00;1,00;2.897,00;2.897,00;629
Paños limpieza wipes rl-045;2025-09-03;0,00;1,00;2.897,00;2.897,00;628
Paños limpieza wipes rl-045;2025-09-04;0,00;1,00;2.918,00;2.918,00;627
Paños limpieza wipes rl-045;2025-09-04;0,00;1,00;2.317,60;2.317,60;626
Paños limpieza wipes rl-045;2025-09-04;0,00;-1,00;-2.317,60;2.317,60;627
Paños limpieza wipes rl-045;2025-09-04;0,00;1,00;2.317,60;2.317,60;626
Paños limpieza wipes rl-045;2025-09-05;0,00;2,00;2.918,00;5.836,00;624
Paños limpieza wipes rl-045;2025-09-09;0,00;5,00;2.402,40;12.012,00;619
Paños limpieza wipes rl-045;2025-09-15;0,00;9,00;3.110,00;27.990,00;610
Paños limpieza wipes rl-045;2025-09-15;0,00;1,00;3.110,00;3.110,00;609
Paños limpieza wipes rl-045;2025-09-17;0,00;1,00;2.504,80;2.504,80;608
Paños limpieza wipes rl-045;2025-09-18;0,00;15,00;2.504,80;37.572,00;593
Paños limpieza wipes rl-045;2025-09-18;0,00;1,00;2.504,80;2.504,80;592
Paños limpieza wipes rl-045;2025-09-18;0,00;1,00;3.131,00;3.131,00;591
Paños limpieza wipes rl-045;2025-09-22;0,00;1,00;2.598,40;2.598,40;590
Paños limpieza wipes rl-045;2025-09-22;0,00;4,00;2.598,40;10.393,60;586
Paños limpieza wipes rl-045;2025-09-23;0,00;3,00;3.248,00;9.744,00;583
Paños limpieza wipes rl-045;2025-09-25;0,00;1,00;2.982,00;2.982,00;582
Paños limpieza wipes rl-045;2025-09-25;0,00;2,00;2.982,00;5.964,00;580
Paños limpieza wipes rl-045;2025-09-25;0,00;3,00;2.982,00;8.946,00;577
Paños limpieza wipes rl-045;2025-09-30;0,00;2,00;2.982,00;5.964,00;575
Paños limpieza wipes rl-045;2025-09-30;0,00;-2,00;-2.982,00;5.964,00;577
Paños limpieza wipes rl-045;2025-09-30;0,00;2,00;2.982,00;5.964,00;575
Paños limpieza wipes rl-045;2025-09-30;0,00;1,00;2.982,00;2.982,00;574
Paños limpieza wipes rl-045;2025-10-01;0,00;15,00;2.420,00;36.300,00;559
Paños limpieza wipes rl-045;2025-10-01;0,00;1,00;2.722,50;2.722,50;558
Paños limpieza wipes rl-045;2025-10-01;0,00;5,00;2.420,00;12.100,00;553
Paños limpieza wipes rl-045;2025-10-05;0,00;1,00;0,00;0,00;552
Paños limpieza wipes rl-045;2025-10-06;0,00;10,00;2.379,56;23.795,60;542
Paños limpieza wipes rl-045;2025-10-07;0,00;2,00;3.110,00;6.220,00;540
Paños limpieza wipes rl-045;2025-10-08;0,00;5,00;0,00;0,00;535
Paños limpieza wipes rl-045;2025-10-13;0,00;1,00;3.152,00;3.152,00;534
Paños limpieza wipes rl-045;2025-10-13;0,00;2,00;2.521,60;5.043,20;532
Paños limpieza wipes rl-045;2025-10-13;0,00;5,00;3.152,00;15.760,00;527
Paños limpieza wipes rl-045;2025-10-13;0,00;10,00;2.504,80;25.048,00;517
Paños limpieza wipes rl-045;2025-10-14;0,00;1,00;3.003,00;3.003,00;516
Paños limpieza wipes rl-045;2025-10-14;0,00;1,00;0,00;0,00;515
Paños limpieza wipes rl-045;2025-10-14;3,00;0,00;0,00;0,00;518
Paños limpieza wipes rl-045;2025-10-15;0,00;10,00;2.402,40;24.024,00;508
Paños limpieza wipes rl-045;2025-10-20;0,00;5,00;2.395,52;11.977,60;503
Paños limpieza wipes rl-045;2025-10-23;0,00;3,00;3.301,00;9.903,00;500
